execution_start_time,2021-08-10 17:03:43.879798
HV Benchmark,0.6490026902270416
execution_end_time,2021-08-17 15:34:06.674002
total_model_runs,3
average_run_time,2 days 07:16:10.816768666
total_duration,"6 days, 22:30:22.794204"
start_time_formatted,"08/10/2021, 17:03:43"
end_time_formatted,"08/17/2021, 15:34:06"
HV obtained,0.7145677365369203
total_demand,2423950.0
n,110
wt,0
tp,5
ref_point_max_f1_ATT,45
ref_point_min_f1_ATT,22
ref_point_max_f2_TRT,6000
ref_point_min_f2_TRT,864
walkFactor,3
boardingTime,0
alightingTime,0
large_dist,10000
alpha_const_inter,0.5
con_r,56
con_minNodes,10
con_maxNodes,22
con_N_nodes,110
con_fleet_size,250
con_vehicle_capacity,20
con_lower_bound,0
con_upper_bound,1
method,GA
termination_criterion,FirstToBreach
population_size,400
generations,8000
number_of_runs,10
crossover_probability,0.5
mutation_probability,1
mutation_threshold,0.03
mutation_ratio,0.5
gen_compare_HV,40
HV_improvement_th,0.0001
crossover_distribution_index,5
mutation_distribution_index,10
tournament_size,2
max_evaluations,25000
number_of_variables,6
number_of_objectives,2
Number_of_initial_solutions,10000
